restaurant_name,restaurant_link
Bostonia Public House,https://www.yelp.com/biz/bostonia-public-house-boston-4?osq=Restaurants
Emmet’s Irish Pub & Restaurant,https://www.yelp.com/biz/emmets-irish-pub-and-restaurant-boston?osq=Restaurants
Bar Mercato,https://www.yelp.com/biz/bar-mercato-boston?osq=Restaurants
PABU Izakaya Boston,https://www.yelp.com/biz/pabu-izakaya-boston-boston?osq=Restaurants
The Daily Catch,https://www.yelp.com/biz/the-daily-catch-boston?osq=Restaurants
Seoul - Boston,https://www.yelp.com/biz/seoul-boston-boston-2?osq=Restaurants
Pauli’s,https://www.yelp.com/biz/paulis-boston?osq=Restaurants
Bogie’s Place,https://www.yelp.com/biz/bogies-place-boston?osq=Restaurants
Theo’s Cozy Corner,https://www.yelp.com/biz/theos-cozy-corner-boston?osq=Restaurants
Fill-A-Buster,https://www.yelp.com/biz/fill-a-buster-boston?osq=Restaurants
Tora Ramen,https://www.yelp.com/biz/tora-ramen-boston-2?osq=Restaurants
Capitol Coffee House,https://www.yelp.com/biz/capitol-coffee-house-boston?osq=Restaurants
Saus,https://www.yelp.com/biz/saus-boston?osq=Restaurants
Legal Sea Foods - Boston,https://www.yelp.com/biz/legal-sea-foods-boston-boston?osq=Restaurants
Shawarma Falafel,https://www.yelp.com/biz/shawarma-falafel-boston?osq=Restaurants
