"","CT_ID_10","Guns_2020","PrivateConflict_2020","SocDis_2020","Violence_2020","NUM_REST","PRIVATENEGLECT","PUBLICDENIG_count","PropViol2020_rate","CodeViol2020_rate","AV_LAND_PER_SF.res","AV_LAND_PER_SF.nonres","Buildingpermit_totalcount","Type","ForBorn","White","Black","Hispanic","MedHouseIncome","HomeOwnPer","ListingsFreq.Clist","MedianRent.Clist","ListingsFreq.Airbnb","MedianRent.Airbnb"
"82",25025080100,14.8698884758364,27.8810408921933,44.2379182156134,165.42750929368,23,107,184,18.5873605947955,1159.85130111524,60.7308611449118,27.1963078017511,45,"I",0.312113495816661,0.146962531829756,0.490360130956712,0.272462713714078,32258,0.240384615384615,79,1995,269,76
"83",25025080300,14.8396361895644,26.3283867879368,8.13786500718047,42.1254188606989,7,106,100,28.7218764959311,1225.46673049306,60.4795583877028,18.6600419328528,21,"R",0.205895691609977,0.0657596371882086,0.612698412698413,0.253061224489796,42617,0.256556442417332,19,2400,247,35
"84",25025080401,15.6202143950995,16.2327718223583,11.3323124042879,65.5436447166922,13,68,74,3.06278713629403,321.592649310873,37.1476472499536,60.3951755863929,32,"R",0.178618421052632,0.0855263157894737,0.413815789473684,0.453947368421053,18602,0.114575779550399,36,2850,182,110
"85",25025080500,6.84931506849315,6.84931506849315,8.40597758405978,36.1145703611457,3,50,69,0,186.799501867995,336.099061528675,73.5112519980478,15,"R",0.281111111111111,0.0672222222222222,0.398055555555556,0.423888888888889,30047,0.0428467683369644,26,2307.5,255,96.5
"86",25025080601,5.57440620455647,7.99806107610276,9.45225399903054,39.2632089190499,23,43,67,4.84730974309258,336.888027144935,91.3823683144152,129.33376352574,21,"R",0.199403281949279,0.364246643460965,0.268771755345599,0.146195922426653,17594,0.119453924914676,24,2400,285,225
"87",25025080801,7.52711976975869,5.09187513836617,3.98494576046048,17.2680982953288,4,36,18,0,11.0692937790569,17.3339759704191,147.647311652526,11,"I",0.23445180594144,0.277195982047446,0.235947852105151,0.363966659542637,20500,0,51,2900,232,75.5
"88",25025080900,2.710027100271,5.14905149051491,5.96205962059621,15.9891598915989,15,116,110,0,1168.0216802168,325.770920689331,78.5468621596374,24,"I",0.267707752370329,0.577523703290574,0.0588399330730619,0.106525376464027,61528,0.0468431771894094,199,1950,705,99
"89",25025081001,3.32847930101935,6.24089868941128,1.87226960682338,32.8687330975661,42,105,102,0,746.827543166216,161.081793884518,155.35547870677,45,"I",0.380819180819181,0.313486513486513,0.149450549450549,0.217382617382617,31917,0.0248337028824834,252,2000,641,99
"90",25025081100,2.69080234833659,5.38160469667319,1.22309197651663,12.9647749510763,4,101,109,9.78473581213307,591.976516634051,88.0379449977496,12.5077360905062,19,"R",0.295675413022352,0.539115646258503,0.1455296404276,0.131924198250729,57687,0.262823902696986,227,1995,2247,214
"91",25025081200,16.9213973799127,6.55021834061135,4.0938864628821,30.2947598253275,6,156,60,2.7292576419214,204.694323144105,117.357520848026,22.8291300417749,28,"R",0.294989224137931,0.188846982758621,0.328394396551724,0.435344827586207,24854,0.223350253807107,41,2500,807,85
"92",25025081300,11.0777318813368,7.51032669921142,14.0818625610214,37.1761171610965,4,100,82,7.51032669921142,311.678558017274,74.8577591128789,18.7555074878697,23,"R",0.289662231320369,0.110337768679632,0.391811668372569,0.443193449334698,16226,0.0757257046697518,56,2622.5,440,80
"93",25025081400,6.12036722203332,9.18055083304998,6.46038762325739,29.9217953077185,2,113,149,10.2006120367222,771.846310778647,87.9289360073383,38.6332210129838,31,"R",0.13953488372093,0.366279069767442,0.413132694938441,0.136114911080711,55909,0.392156862745098,571,2595,1996,116
"94",25025081500,8.40978593272171,11.4678899082569,1.52905198776758,17.2018348623853,2,65,47,3.82262996941896,458.715596330275,57.3390427931598,3.88065992601379,21,"R",0.173138582116138,0.126113288208051,0.550053437833986,0.244389027431421,36464,0.354669464847849,29,2750,532,80
